search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Modelo alfanumérico,Voltagem,Tipos de alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Cor
730, Caixa Bluetooth Jbl Go2 Original Lacrada Várias Cores ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				15
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1250
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1531,https://perfil.mercadolivre.com.br/VENDASBANDEIRA,https://produto.mercadolivre.com.br/MLB-1278758590-caixa-bluetooth-jbl-go2-original-lacrada-varias-cores-_JM,1406,98,19,4,4,#1278758590,JBL,GO 2,3 W,Woofer,NA,NA,NA,NA,NA,Caixa bluetooth,De piso,Caixa,NA,NA,Auxiliar,80 dB,71 mm,31 mm,86 mm,NA,NA
731, Vaso De Planta Musical Bluetooth Caixa Som Decorativa Led ,38,NA,"
			
				Novo
			
			
				
					 - 
				
				22
				vendidos
			
		",(13 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 633
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/123INBOX,https://produto.mercadolivre.com.br/MLB-944353790-vaso-de-planta-musical-bluetooth-caixa-som-decorativa-led-_JM,NA,NA,NA,NA,NA,#944353790,IMPORTADO RPC,VASO MUSICAL,5 W,Embutido,NA,NA,NA,NA,Bivolt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732, Logitech Ue Megaboom Speaker Bluetooth Vermelho Promoção ,519,NA,"
			
				Novo
			
			
				
					 - 
				
				10
				vendidos
			
		",(18 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/LOJAVISIVO,https://produto.mercadolivre.com.br/MLB-1108556737-logitech-ue-megaboom-speaker-bluetooth-vermelho-promoco-_JM,NA,NA,NA,NA,NA,#1108556737,Logitech/UE,MEGABOOM,36 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,2.0,NA,NA,80 dB,NA,1 m,22.6 cm,877 g,NA
733, Caixa Som Amplificada Sumay Thunder Black 400w Rms Potente ,829,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(100 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7923
		
		 sem juros
		
	

	
		",23,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,72,https://perfil.mercadolivre.com.br/LOJAVALENCIO,https://produto.mercadolivre.com.br/MLB-1142528879-caixa-som-amplificada-sumay-thunder-black-400w-rms-potente-_JM,53,10,6,1,2,#1142528879,Sumay,Potência Musical 4000W pmpo,400 W,Ativo,NA,NA,Caixa de Som,SM-CAP12T,NA,Subwoofer,De piso,Caixa,NA,NA,Auxiliar,NA,NA,NA,NA,NA,NA
734, Mini Caixa De Som Bluetooth Com Suporte Para Celular Hf-q3 ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				12
				vendidos
			
		",(488 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BEATRIZ.ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1177442137-mini-caixa-de-som-bluetooth-com-suporte-para-celular-hf-q3-_JM,NA,NA,NA,NA,NA,#1177442137,Yes,HF-Q3,5 W,Tweeter,NA,NA,NA,NA,NA,NA,NA,Caixa,5.1,NA,Auxiliar,NA,NA,NA,NA,457 g,NA
735, Caixa De Som Multifuncional Wireless Speaker Para Smartphone ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(47 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 666
		
		 sem juros
		
	

	
		",66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LIJO663716,https://produto.mercadolivre.com.br/MLB-1207113213-caixa-de-som-multifuncional-wireless-speaker-para-smartphone-_JM,NA,NA,NA,NA,NA,#1207113213,DF,Q3,5 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,Auxiliar,NA,NA,NA,NA,457 g,NA
736, Caixa De Som Subwoofer Jbl Sub260 Pbk 300w ,2295,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(21 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 19125
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SHOP+PRATICO,https://produto.mercadolivre.com.br/MLB-923238804-caixa-de-som-subwoofer-jbl-sub260-pbk-300w-_JM,NA,NA,NA,NA,NA,#923238804,JBL,SUB260PBK,300 W,Subwoofer,NA,NA,NA,NA,NA,NA,"piso, Parede",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
737, Caixa De Som Portátil Jbl Cruise Bt Bluetooth Moto ,1249,NA,"
			
			
				
				2
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 10408
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LEANDRINISTORE?brandId=1551,https://produto.mercadolivre.com.br/MLB-1224922575-caixa-de-som-portatil-jbl-cruise-bt-bluetooth-moto-_JM,NA,NA,NA,NA,NA,#1224922575,JBL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35 kg,NA
738, Caixa Som Harman Kardon Onyx Studio 5 50w Hkonyxstu5pto ,899,NA,"
			
			
				
				4
				vendidos
			
		",(108 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7492
		
		 sem juros
		
	

	
		",92,NA,Envio para todo o país,NA,NA,5.0,2,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1204467408-caixa-som-harman-kardon-onyx-studio-5-50w-hkonyxstu5pto-_JM,NA,NA,NA,NA,NA,#1204467408,Harman Kardon,Onyx Studio,50 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284 mm,128 mm,291 mm,NA,Preto
739, Caixa Casa Bluetooth Usb Laser Bar Comercio 1570 Rms Taramps ,889,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(9984 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7408
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MARCELOHENRIQUEPONTES,https://produto.mercadolivre.com.br/MLB-1174162571-caixa-casa-bluetooth-usb-laser-bar-comercio-1570-rms-taramps-_JM,NA,NA,NA,NA,NA,#1174162571,OESTESOM,CAIXA BLUETOOTH,NA,Não se aplica,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,96 dB,NA,NA,NA,NA,NA
740, Caixa De Som Portátil Wireless Modelo 1018l ,37,NA,"
			
				Novo
			
			
				
					 - 
				
				33
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 685
		
		 sem juros
		
	

	
		",85,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/HZ+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1205153889-caixa-de-som-portatil-wireless-modelo-1018l-_JM,NA,NA,NA,NA,NA,#1205153889,Wireless speaker,KTS 1018,5 W,NA,NA,NA,NA,NA,NA,Mini tweeter,NA,Caixa,NA,NA,USB,NA,10 cm,NA,12 cm,NA,NA
741, Caixa Som Charge3 Mini Bluetooth Potede Promoção ,37,NA,"
			
				Novo
			
			
				
					 - 
				
				78
				vendidos
			
		",(43 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 617
		
		 sem juros
		
	

	
		",17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SIRI7664513,https://produto.mercadolivre.com.br/MLB-1226306268-caixa-som-charge3-mini-bluetooth-potede-promoco-_JM,NA,NA,NA,NA,NA,#1226306268,Charge 3,charge3 mini,10 W,Tweeter,20 Hz,65 Hz,NA,NA,NA,Tweeter,De teto,Caixa,5.1,2,NA,30 dB,NA,NA,NA,400 g,NA
742, Caixa De Som Bluetooth H-maston B28s Bluetooth Usb Sd Fm Aux ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				30
				vendidos
			
		",(993 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/AER+MAGAZINE,https://produto.mercadolivre.com.br/MLB-843037578-caixa-de-som-bluetooth-h-maston-b28s-bluetooth-usb-sd-fm-aux-_JM,NA,NA,NA,NA,NA,#843037578,H'maston,B28s,20 W, stereo,NA,NA,CAIXA DE SOM HMASTON,NA,NA,Woofer,"tv, computador",Caixa,2.1,4,USB,NA,NA,NA,NA,800 g,NA
743, Caixa Som Bluetooth Ws1618 Ent.usb Pen Drive Aux Sd ,269,NA,"
			
				Novo
			
			
				
					 - 
				
				143
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2250
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,31,https://perfil.mercadolivre.com.br/NOVA+DIGITAL2,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=glbhb1tfUlok2SerXefV0jFAPMr2S1erpzkIWowSSSZiNt5DEFxbnWebz2xF%2FhRiQBZffo%2BaJcJPVdMN4LAayuaCGOzi1EPFA8au6gf5Jvz1vbtahN3ESY6lYWPMeSblqspseR1Rcw7Ct9o%2BvwQxwPXmoE8mPAQgC%2BLOQLLT7k63xALHKDyOoAsvxqTHmwfpo0AO2%2BycklER6%2BWxszYnIRX%2FWklMOub1m62EcMDFTUd%2FkkjieVG4GEg9LfaTm5AOoE96KHE46ngaY8G4rUPhSKC2mVVX%2BhlWwsUjxqp01cZO1x7xgR9z8Z3xgsTwM1s97ldz2ZWo2xpsyiPZPwbHxGrNIFdUNO42IzhlVWvE%2FvHyXuQDfAQTrqSKxe%2BbhVgI3hXeoaRAsJuH%2F%2BOO7%2ByVeAQQwh3ypB7kmXJKYXt3LNgswJm6hQExQmLPJIlQa%2F%2BmhcxWeHa389hB7JFu37hQviVIVFInVLmAFiiKNltrE%2FbiLfXE%2Fi6GZ4tTlrznGbfsWmdhk1dFBWIl9XQLcb3FPfDRl%2FrlDaEzMHg1pyPUoCkK%2F2IHq%2BD70G5mVuokZtGsqqBUMesz0rzf4eXuDDBOTzz2ilBdmZaBXInPzEOd2iFR2HLuCpxnLSnTZt0MWrZpodDo%2BtZC9QDbpeORqf5pjLDSxklTdiQlHIyNtcnSkWzwCDKV2WG7lzr%2Fmqp0k8azIBnsKIByNOvtZpXvVRy9QZ9SJJZG%2BXzfUSjDcjO298cJOREZOTPrEHE123YjDOj6yEQCvAMiF4sUK1ZMinTYSx2clP7YwCCTxOsbc0jrUp901ez057sVBF4XnYwlLLE7HlOkFKR6aLS6KRMpoIxJYa72%2Bi7%2FaDLBZSQn3bAXVfAxtR6nJHY5LON%2BU7DF6n3SqKQ0V2oqu8oGB1kXdsrMwQhprGWnR1F8gkqD5LcLAbVE4szXXmHq40pTatuQf6PiUs25bmGJCcCvzeLl8rdPPWfPmMy7hVmcbxArffnFGMqmSUoJDPPnCT8jjT2fqkOme4Ao%2BOyDTJG7s5C1GTGKjx9drySP7Vsa8%2F4BZpNFCht6mHIMNHEfIzIpCzl4oezZiGo1u0hoUE9nR7bu0yW2E1SB9jvAoMhLmfeLsgYCSNbyuXv%2BNiW6z7Xduc3QfIFJFBXSHM32bIyt6NSCyY6R%2F1BQVuNVD8GRjLYSd%2F%2FeTj8IEfZxCpBARcE3O5qKm%2FASW2H32Q4OieJkD71dRbpn0EVYGnE7HNihR8uKPRdS6tvsJAv3qN48%2BBzGetMcCGkEQpMG%2Fk%2F4vUKkuE7oMlzqsECO2eHCOEy1xtVGFkGuINooedlk3sGS1gE0d%2BcbnB15NaQWlWv83NLB3PypzGIxKynMrdNZZRtIAxySq%2Bu0ZXJ74m14ep3ocnEIWC245dvJQOIx3kWHNV%2BdP02YViwhXbhTWrxylRK1DW0C3E3kHIiDb3B4EusoelbjUFW%2BNTU%2BgFgMe5sVHWXz79COK4geqtfpAfDV0YD1e7A%2Fk21DMm%2BWj6p1pAqf4weKrziLiVrqu3fpChehOZ9IPK17lRxcklYvUxkz27FwxReikRfEEpuU7ylk62c%2B5OlnHfEOP5VkG8Kg7PlPd5x0vniKbYOVT7W8LVKK0zv5nuUw%2Fel8s2FowHEuGwJ3K%2BtTPvcsd09iWYO4D0qeBG5gdT%2BGpTe5SePu3UH2disZ3ypMybgDwuooHcGKoGoQQqpSCOGC3CH1D0cd6PCA%2FSyG8eRKSJ104cVrW%2Bse0IHjbTo6oCdoV8o%2BbHU1WoVBYRpTpTOjOhHtypo0u5XKzQ94pUTowlbI%2FkWNq%2F9V6NCfRZTJ2YTtA45Dw4u2W%2BjOrLreMgXEbtTijhGV1h6d6DzMtDu8lwe%2FQX6%2BICYiTiM%2FG9rHOsE8IHSmod6nk8vorg%3D%3D,22,6,0,0,3,#960307550,Taicon,TA-S2018,200 W,Ativo,NA,NA,NA,NA,NA,Tweeter,NA,Caixa,NA,NA,USB,NA,NA,NA,NA,2.4 kg,NA
744, Caixa Jbl Charge 4 - Cor Preto - Original - Lançamento ,765,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6375
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,92,https://perfil.mercadolivre.com.br/E-COMPANY+SHOP,https://produto.mercadolivre.com.br/MLB-1257765343-caixa-jbl-charge-4-cor-preto-original-lancamento-_JM,65,11,9,1,6,#1257765343,JBL,Charge 4,30 W,Ativo,NA,NA,NA,NA,NA,Woofer,De piso,Caixa,sem configurações,NA,NA,80 dB,NA,NA,NA,NA,NA
745, Mini Caixinha Som Bluetooth Portátil Prova De Água Ventosa ,25,NA,"
			
				Novo
			
			
				
					 - 
				
				38
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 559
		
		 sem juros
		
	

	
		",59,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.0,3,https://perfil.mercadolivre.com.br/JSA+VENDAS,https://produto.mercadolivre.com.br/MLB-856876506-mini-caixinha-som-bluetooth-portatil-prova-de-agua-ventosa-_JM,1,0,1,0,1,#856876506,Importado,BTS-06,3 W,Tweeter,NA,NA,NA,NA,NA,Tweeter,deverssos,Caixa,5.1,NA,NA,80 dB,NA,NA,NA,NA,NA
746, Caixa De Som Portátil Jbl Clip 3 Preta Original 028 ,289,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(100 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2416
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,82,https://perfil.mercadolivre.com.br/TOP+MULTIM%C3%8DDIAS,https://produto.mercadolivre.com.br/MLB-1196327968-caixa-de-som-portatil-jbl-clip-3-preta-original-028-_JM,77,5,0,0,0,#1196327968,JBL,Clip 3,3 W,Ativo,20 kHz,20 Hz,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,80 dB,NA,NA,NA,0.22 kg,NA
747, Google Home Assistente Pessoal Caixa De Som Original Vitrine ,359,NA,"
			
				Novo
			
			
				
					 - 
				
				13
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2992
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CLICOUCELULARES,https://produto.mercadolivre.com.br/MLB-1137995556-google-home-assistente-pessoal-caixa-de-som-original-vitrine-_JM,NA,NA,NA,NA,NA,#1137995556,Google,Google Home GA3A00417A14,7 W,Ativo/Passivo,NA,NA,NA,NA,NA,Subwoofer,Casa,Caixa,5.1,1,NA,NA,NA,NA,NA,1100 g,NA
748, Caixa Som Amplificada Bluetooth 120w Bateria P10 Microfone ,459,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(94 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4396
		
		 sem juros
		
	

	
		",96,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LEFA+SHOP,https://produto.mercadolivre.com.br/MLB-1221555647-caixa-som-amplificada-bluetooth-120w-bateria-p10-microfone-_JM,NA,NA,NA,NA,NA,#1221555647,LEFA,MK170,30 W,NA,NA,NA,NA,NA,110/220V (Bivolt),NA,NA,Torre,NA,NA,NA,NA,NA,NA,NA,4800 kg,Preto
749, Caixa De Som Eclapower Portatil 180w Rms 8 Pol Mic Sem Fio ,399,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/OUTLETNOVOSEREVISADOSGAUSS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=1duS03n5eDB2kTOanzqe2FPiAB%2FlQUUCxrH%2FG5w3uqW2UtRBYRxDF0LxKf8dd56LCHgt7wkqavTNNJeoiZD3aptzetGa8LzKUAiVpnceerRccCCY9OzrPFDvAO61B9zrZbQ1nCO7IOaFBWKUg9Xo8Ux4sNYjNbwTSIhgf4prpq3bsLnU3NYfXz6pULEutkt%2BzmCbh4bNE4W3YFxJC6nVGczUaEpew0rOIwxmJ7uMAWHb5Ig3H9bGhY6GVs5KBpcqw%2BOYqtGaVLhxq%2FVWQJLq1GKI70RRYTo%2FcLuCjDQe1%2F1y4Vjr1JreRU9OC%2B4fupJO1Wy%2BLxlvDRBbH0uhUaqT9QNlGtwDPA5S2ufrl6Aaodk9hBM72GQe7Ko45Da1JzSwBk6qqHLcgq2Rq85IOecIZ0FDmLwknmdROD2ORnILQ9VhpImd6yafVIdIl3tR%2BWQFOyU6MUupSTP%2FAe8nULkLdCO3zhSsvS1o7wEtdn5Hws1l1vxvYJK1TBVDwDSGK3AjJWCndO1mCPbifBUMBKzopiHZ80w%2FIhRLZRtMWpcfF0mOkXkBvUYKz5TPL8%2FmuRDRQZyJVYEAgcJV7z%2BPGz5xzaZerumhm05xRa0XZZkxmDgB9M5JaCrD09YnLfgVFr3l3bP6IkUOyAnoFODzTAFTp70tLJ68bqWengPj00wHiczQZo%2F52ppIMvbAE2xv0MavfchO3bIli8CgNhfT4AO5tuV35eOrhzV0UCBSAjXK7JylU4vxsOWHuLfXJVN1BMUk3qFpfgc8nAoTU20dtrJiwdY9GG0nHFL5Hse9qTKxxLSviMiq3jMJzwtV6F%2FTBqzqLUdGa2VIMGeApw5Pwh8JrusTLTXqrbsW56tBtDvYSC34LUYoNbDENLIprysZNo9URfFNmnPrr1y5DKdZuVUkmHNejecY5QIUyflb%2BA2xHpxWDsvAVXQjnIXr4wArDN1ZrgHl3a1h%2FT6TA7yPv%2BEulVLBIKcRjVoiaZSmKg8gDT%2BZ%2B%2F0n28A11O0OwHluu1yoKc6%2F7I4jvcrNIomzo8uwnG%2F1zCX6te0ADxd5c438fnB4d0zGH8ZL0r5GjtsSXjnh6ESmtZjqFJTQtwuqsNTp4ZjdkT9PLtq%2B0RJnP%2Fn3JHiZBPmA49Lojzzr62Vo%2FaQmC3VbKIK7vyGXgVMAwntULUwy4vnZty%2F4uZsR71qB7S0bSZ%2FCs0gBrnOpRv6Kol8qMU3Ugau%2FjxyEn3GSr7mwgFZU2qHPZ1uCASs3zzinjq%2FfyIvldUlk7lqIvfWZuKv1EmvqrOlI0rPpbMLXNUY9CSEAUwmrgN%2BP8oLwtPlglg9kVkBLwSszlQHBn0SYJRhUM8UCBXWZhNc4JIuGQQTP%2FV7fZkKVMg8jOPN%2BY14wm1kRyPKiT7yjljx9IxTJVDkcd49XAWQgDUFIsLGbjyiSG%2BgxQvYFwB148J5zjimSyNqrxYAxdtc4a7Cw5CUNPQDkodNy0vgsMTe1MqjExoRLAto%2BvYxKVInzFdcCYWqF%2FMZ293yCdo9QiAo9POKngc1fDgs7nx8uFu7vOGJaVBkQ0JftxqQWVKHzWmLUsBjrEzRVUgFmHineSeWdn87Ee703jPrYBuHqK6vVM3MBUbR2k%2FpWxycLYEHcQptexdp5IsN5kmkn6ZQtui35QXm3sVdDOX5D6UvctM%2FV6%2B0VEL2N%2BIIbia%2BjGd%2FUK8XCUb%2Bo1Lu8N05qWU%2F4rpL%2Fyq%2BzC8C48nIKoP%2FrFS76hS9ABxVN2sLdpiSBSAGKuHWLF8q24qwUAkUE64aOLr6BUw8LCsrlbdDkaE1XGRKLLUNlFMTaU7hWiVzQnQzeM3pstNHwZ%2BoufWStfs6fvl6ZSV6xRlNERp2wi54iUyY8XV%2B0l8zUcN54YXMHNh%2Bz%2FeUIaN5eAauRhOw7,NA,NA,NA,NA,NA,#1246844773,Multilaser,SP273,50 W,Passivo,NA,NA,NA,NA,NA,Subwoofer,portátil,Caixa,manual,NA,Auxiliar,NA,28 cm,14 cm,12.5 cm,2.3 kg,NA
750, Caixa Som Ecopower Ep-132b Bluetooth Usb Com Microfone ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				16
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1332
		
		 sem juros
		
	

	
		",32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/EAESPORTS,https://produto.mercadolivre.com.br/MLB-1188719020-caixa-som-ecopower-ep-132b-bluetooth-usb-com-microfone-_JM,NA,NA,NA,NA,NA,#1188719020,Ecopower,Ep-132b,15 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,não,NA,"Cartão de memória, Pen drive, Microfone, Violão, Guitarra",NA,NA,NA,NA,NA,NA
751, Caixa De Som Amplificada Led Bluetooth Mp3 Sd Mic Torre 2317 ,231,244,"
			
				Novo
			
			
				
					 - 
				
				1155
				vendidos
			
		",(289 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1932
		
		 sem juros
		
	

	
		",32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,630,https://perfil.mercadolivre.com.br/STCSMART,https://produto.mercadolivre.com.br/MLB-851173022-caixa-de-som-amplificada-led-bluetooth-mp3-sd-mic-torre-2317-_JM,445,120,37,16,12,#851173022,Deko,SY-658,15 W,Woofer,NA,NA,AMPLIFICADA,JBK-6501,NA,Woofer,"Sala, quarto, suite, cozinha, festa, balada, escritorio, carro, quintal, sacada, terraço, salão, portatil",Caixa,Digital,2,Entrada para Microfone,80 dB,NA,NA,NA,NA,NA
752, Speaker Bluetooth Jbl Go2 Original Varias Cores ,148,NA,"
			
				Novo
			
			
				
					 - 
				
				16
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1415
		
		 sem juros
		
	

	
		",15,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1531,https://perfil.mercadolivre.com.br/JANEVENDAS001,https://produto.mercadolivre.com.br/MLB-1195388310-speaker-bluetooth-jbl-go2-original-varias-cores-_JM,1406,98,19,4,4,#1195388310,JBL,GO 2,3 W,Passivo,20 kHz,20 Hz,NA,NA,NA,NA,NA,NA,NA,1,NA,80 dB,NA,NA,NA,NA,NA
753, Caixa De Som Anker Soundcore 2 Bluetooth Portátil Original ,253,NA,"
			
				Novo
			
			
				
					 - 
				
				18
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2427
		
		 sem juros
		
	

	
		",27,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/PORTAL+E-SHOP,https://produto.mercadolivre.com.br/MLB-1182812507-caixa-de-som-anker-soundcore-2-bluetooth-portatil-original-_JM,NA,NA,NA,NA,NA,#1182812507,Anker,A3105,12 W,"1,5 x 2",NA,NA,SoundCore 2,NA,NA,Wo,Portátil,Caixa,2,NA,NA,NA,NA,NA,NA,NA,NA
754, Caixa Som Portátil Amplificada Bluetooth Recarregável Oferta ,108,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 908
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ELETRO+SHOK,https://produto.mercadolivre.com.br/MLB-1173793122-caixa-som-portatil-amplificada-bluetooth-recarregavel-oferta-_JM,NA,NA,NA,NA,NA,#1173793122,Inova,RAD-390Z,12 W,NA,NA,NA,NA,NA,NA,Woofer,De piso,Torre,NA,NA,NA,NA,NA,NA,NA,NA,NA
